giria;significado
"10/10";"Algo ou alguém perfeito, nota máxima."
"aesthetic";"Visual ou estilo bonito, harmônico ou bem construído."
"alpha";"Pessoa confiante, dominante e com forte presença de liderança."
"avatar";"Imagem ou personagem que representa alguém virtualmente."
"backup";"Cópia de segurança de arquivos ou dados."
"based";"Pessoa autêntica ou opinião dita sem medo de julgamento."
"beta";"Pessoa vista como insegura, submissa ou sem liderança."
"big yikes";"Algo muito vergonhoso, desconfortável ou constrangedor."
"block";"Bloquear alguém, impedindo que veja ou interaja com seu perfil."
"boomer";"Pessoa com mentalidade velha ou desatualizada."
"boujee";"Pessoa sofisticada, luxuosa ou com gosto caro."
"brainrot";"Declínio das capacidades cognitivas ou mentais associado ao consumo excessivo de conteúdos digitais superficiais, vídeos curtos e memes."
"brainstorm";"Reunião ou processo de geração de ideias para resolver problemas ou criar algo."
"burnout";"Esgotamento físico e mental causado por excesso de pressão ou trabalho."
"buzz";"Muito comentário, agito ou repercussão em volta de algo."
"checkout";"Sair de um hotel ou finalizar uma compra."
"chic";"Elegante, refinado ou sofisticado."
"ciao";"Expressão italiana usada como tchau."
"chronically online";"Pessoa muito consumida pela internet e pela cultura online."
"clean girl";"Estética minimalista, elegante e com aparência limpa."
"comeback";"Retorno de artista, marca, fama, carreira ou relevância."
"cooked";"Pessoa ferrada, acabada ou em situação ruim."
"corecore";"Vídeos existenciais, caóticos ou melancólicos."
"coworking";"Espaço de trabalho compartilhado por pessoas de diferentes empresas ou áreas."
"cringe";"Algo vergonhoso, constrangedor ou que causa vergonha alheia."
"crush";"Pessoa por quem se tem interesse romântico ou paixão."
"daily";"Conteúdo do cotidiano ou da rotina diária."
"dark academia";"Estética intelectual, clássica e com elementos góticos."
"dead / ded";"Expressão usada para dizer que está morrendo de rir."
"deadline";"Prazo final para entregar algo."
"delete";"Apagar algo, como arquivo ou mensagem, ou afastar alguém da vida."
"delulu";"Pessoa iludida, fantasiosa ou vivendo uma fantasia romântica."
"delulu is the solulu";"Expressão que significa que ser iludido é a solução."
"diva";"Mulher celebrada por talento, presença, carisma ou beleza."
"doom scrolling";"Hábito de rolar compulsivamente feeds de redes sociais ou notícias, consumindo conteúdos negativos, desanimadores ou alarmantes."
"download";"Baixar arquivos ou conteúdos da internet para o dispositivo."
"draft";"Rascunho."
"drip";"Roupa, estilo ou visual muito marcante."
"drop / dropar";"Lançar algo ou abandonar algo."
"e-boy / e-girl";"Estética alternativa digital associada à internet."
"exposed";"Ser desmascarado publicamente ou ter informações comprometedoras reveladas."
"fail";"Fracasso, erro ou algo que deu errado."
"fake";"Falsidade, algo falso ou perfil falso nas redes sociais."
"fake news";"Notícias falsas ou enganosas."
"fanfic";"História inventada, fantasia criada ou imaginação romântica."
"feedback";"Retorno ou avaliação sobre desempenho, trabalho ou comportamento."
"flop / flopar";"Fracassar, não fazer sucesso ou não dar certo."
"follow";"Seguir o perfil de alguém nas redes sociais para acompanhar seu conteúdo."
"FOMO";"Medo de perder novidades, eventos ou experiências."
